region|1|Amarillo
site|CAPCOG Round Rock C674|48_491_0674|674
site|CAPCOG San Marcos C675|48_209_0675|675
site|CAPCOG McKinney Roughs C684|48_021_0684|684
site|CAPCOG Lake Georgetown C690|48_491_0690|690
site|Austin 5th Street C1026|48_453_1026|1026
site|Austin North Interstate 35 C1068|48_453_1068|1068
site|Jarrell FM 487 C1094|48_491_1094|1094
site|Gorzycki Middle School C1603|48_453_1603|1603
site|Lockhart C1604|48_055_1604|1604
site|St. Edwards University C1605|48_453_1605|1605
site|CAPCOG Bastrop CAMS1612|48_021_1612|1612
site|CAPCOG Elgin C1613|48_021_1613|1613
site|CAPCOG East Austin C1619|48_453_1619|1619
site|CAPCOG San Marcos Staples Road C1675|48_209_1675|1675
site|Camp Mabry KATT C5001/C5002|48_453_5001|5001
site|Camp Mabry KATT C5001/C5002|48_453_5001|5002
site|Austin Bergstrom KAUS C5003|48_453_5003|5003
site|Burnet County Airport KBMQ C5009|48_053_5009|5009
site|CAPCOG Hutto College Street C6602|48_491_6602|6602
region|12|Houston-Galveston-Brazoria
site|Houston East C1/G316|48_201_1034|1
site|Houston Aldine C8/AF108/X150 |48_201_0024|8
site|Texas City C10|48_167_1002|10
site|Clute C11/A111|48_039_1003|11
site|Channelview C15/AH115 |48_201_0026|15
site|Houston Deer Park C18|48_201_1003|18
site|Houston Manchester C22|48_201_0059|22
site|Northwest Harris Co. C26/A110/X154|48_201_0029|26
site|Galveston Airport C34/A109/X152|48_167_0014|34
site|Hou.DeerPrk2 C35/235/1001/AFH139FP239|48_201_1039|35
site|Seabrook Friendship Park C45|48_201_1050|45
site|Houston Wharton C48|48_201_0068|48
site|Ellington Field C51|48_201_1040|51
site|Houston Bayland Park C53/A146 |48_201_0055|53
site|Clinton C403/C304/AH113 |48_201_1035|55
site|Conroe C65|48_339_0089|65
site|Conroe Relocated C78/A321|48_339_0078|78
site|Houston Regional Office C81|48_201_0070|81
site|Manvel Croix Park C84|48_039_1004|84
site|Smith Point Hawkins Camp C96/C638|48_071_0013|96
site|Nessler Pool A100|48_167_0053|100
site|Houston Aldine C8/AF108/X150 |48_201_0024|108
site|Galveston Airport C34/A109/X152|48_167_0014|109
site|Northwest Harris Co. C26/A110/X154|48_201_0029|110
site|Clinton C403/C304/AH113 |48_201_1035|113
site|HRM-3 Haden Road C603/A114 |48_201_0803|114
site|Channelview C15/AH115 |48_201_0026|115
site|Hou.DeerPrk2 C35/235/1001/AFH139FP239|48_201_1039|139
site|Shore Acres A145|48_201_0061|145
site|Houston Bayland Park C53/A146 |48_201_0055|146
site|Texas City Ball Park A147/C1022|48_167_0005|147
site|Baytown A148|48_201_0058|148
site|Houston Aldine C8/AF108/X150 |48_201_0024|150
site|Galveston Airport C34/A109/X152|48_167_0014|152
site|Northwest Harris Co. C26/A110/X154|48_201_0029|154
site|Lynchburg Ferry C1015/A165 |48_201_1015|165
site|San Jacinto Monument C166/C245|48_201_1041|166
site|Galena Park A1667 |48_201_0057|167
site|Houston Milby Park A169 |48_201_0069|169
site|Cesar Chavez C1020/175 |48_201_6000|175
site|Houston Bayland Park C53/A146 |48_201_0055|181
site|Hou.DeerPrk2 C35/235/1001/AFH139FP239|48_201_1039|235
site|Port of Houston (Fuel Cell) C240|88_801_0240|240
site|La Porte Airport C243|48_201_1043|243
site|San Jacinto Monument C166/C245|48_201_1041|245
site|Clinton C403/C304/AH113 |48_201_1035|304
site|Kingwood C309|48_201_1042|309
site|Clinton C403/C304/AH113 |48_201_1035|403
site|Houston Kirkpatrick C404|48_201_0060|404
site|Houston North Wayside C405|48_201_0046|405
site|Houston Monroe C406|48_201_0062|406
site|Houston Crawford C407|48_201_1037|407
site|Lang C408|48_201_0047|408
site|Houston Croquet C409|48_201_0051|409
site|Houston Westhollow C410|48_201_0066|410
site|Houston Texas Avenue C411|48_201_0075|411
site|Park Place C416|48_201_0416|416
site|Sheldon C551|48_201_0551|551
site|Baytown Wetlands Center C552|48_201_0552|552
site|Crosby Library C553|48_201_0553|553
site|West Houston C554|48_201_0554|554
site|Kingwood Library C555|48_201_0555|555
site|La Porte Sylvan Beach C556|48_201_0556|556
site|Mercer Arboretum C557|48_201_0557|557
site|Tom Bass C558|48_201_0558|558
site|Katy Park C559|48_201_0559|559
site|Atascocita C560|48_201_0560|560
site|Meyer Park C561|48_201_0561|561
site|Bunker Hill Village C562|48_201_0562|562
site|Huffman Wolf Road C563|48_201_0563|563
site|Clear Brook High School C570|48_201_0570|570
site|Clear Creek High School C571|48_167_0571|571
site|Clear Lake High School C572|48_201_0572|572
site|HRM-3 Haden Road C603/A114 |48_201_0803|603
site|HRM-4 Sheldon Rd C604|48_201_0804|604
site|HRM-8 LaPorte C608|48_201_0808|608
site|HRM-10 Mont Belvieu C610|48_071_0900|610
site|HRM-11 E Baytown C611|48_071_0901|611
site|Texas City BP 31st St. C615/C1615|48_167_0615|615
site|Texas City BP Onsite C616/C1616|48_167_0616|616
site|Wallisville Road C617 |48_201_0617|617
site|Danciger C618 |48_039_0618|618
site|Mustang Bayou C619 |48_039_0619|619
site|Texas City 34th St. C620 |48_167_0056|620
site|Texas City BP Logan St. C621/C1621|48_167_0621|621
site|Smith Point Hawkins Camp C96/C638|48_071_0013|638
site|Texas Petrochemicals FTIR South C669|48_201_0669|669
site|Texas Petrochemicals FTIR North C670|48_201_0670|670
site|Goodyear Houston Site C671|48_201_0671|671
site|Pasadena AAMS C672|48_201_0672|672
site|Goodyear Houston Site 2 C673|48_201_0673|673
site|Texas City 11th St. C683|48_167_0683|683
site|Pasadena AAMS C688|48_201_0688|688
site|UH Moody Tower C695|48_201_0695|695
site|U of H-Sugarland C696|48_157_0696|696
site|UH Coastal Center C697|48_167_0697|697
site|UH WG Jones Forest C698|48_339_0698|698
site|UH West Liberty C699|48_291_0699|699
site|Hou.DeerPrk2 C35/235/1001/AFH139FP239|48_201_1039|1001
site|Freeport South Avenue I C1012|48_039_1012|1012
site|Lynchburg Ferry C1015/A165 |48_201_1015|1015
site|Lake Jackson C1016 |48_039_1016|1016
site|Baytown Garth C1017|48_201_1017|1017
site|Cesar Chavez C1020/175 |48_201_6000|1020
site|Texas City Ball Park A147/C1022|48_167_0005|1022
site|Manchester C1029/A307/E307|48_201_0307|1029
site|Channelview North C1030/A309|48_201_0030|1030
site|Galveston 99th St. C1034/A320/X183|48_167_1034|1034
site|Jacinto Port C1036/A318|48_201_0036|1036
site|Pasadena North C1049/A330|48_201_1049|1049
site|Houston North Loop C1052|48_201_1052|1052
site|Houston Hartwick C1054|48_201_1054|1054
site|Houston Southwest Freeway C1066|48_201_1066|1066
site|UH Smith Point C1606|48_071_1606|1606
site|Oyster Creek C1607 |48_039_1607|1607
site|Freeport North Fenceline C1608|48_039_1608|1608
site|UH Launch Trailer C1611|48_201_1611|1611
site|Texas City BP 31st St. C615/C1615|48_167_0615|1615
site|Texas City BP Onsite C616/C1616|48_167_0616|1616
site|Texas City BP Logan St. C621/C1621|48_167_0621|1621
site|Galveston C2003|88_167_2003|2003
site|Hou.DeerPrk2 C35/235/1001/AFH139FP239|48_201_1039|3000
site|Galveston Airport KGLS C5005|48_167_5005|5005
site|Conroe Airport KCXO C5006|48_339_5006|5006
site|Huntsville KUTS C5012|48_471_5012|5012
site|Texas City Fire Station C9995|48_167_0004|9995
region|13|San Antonio
site|San Antonio North C7|48_029_0036|7
site|San Antonio Northwest C23|48_029_0032|23
site|San Antonio Downtown C27|48_029_0046|27
site|Camp Bullis C58 |48_029_0052|58
site|Calaveras Lake C59|48_029_0059|59
site|San Antonio Seale A140|48_029_0051|140
site|Selma C301|48_029_0053|301
site|Elm Creek Elementary C501|48_029_0501|501
site|Fair Oaks Ranch C502|48_029_0502|502
site|Bulverde Elementary C503|48_091_0503|503
site|New Braunfels Airport C504|48_187_0504|504
site|City of Garden Ridge C505|48_091_0505|505
site|Seguin Outdoor Learning Center C506|48_187_0506|506
site|Heritage Middle School C622|48_029_0622|622
site|Gardner Rd. Gas Sub-Station C623|48_029_0623|623
site|Gate 9A CPS C625|48_029_0625|625
site|Gate 58 CPS C626|48_029_0626|626
site|Palo Alto C676|48_029_0676|676
site|Old Highway 90 C677/A319|48_029_0677|677
site|CPS Pecan Valley C678|48_029_0055|678
site|Floresville Hospital Blvd C1038 |48_493_1038|1038
site|San Antonio IH 35 C1069|48_029_1069|1069
site|Karnes County C1070 |48_255_1070|1070
site|San Antonio Gardner Road C1080|48_029_1080|1080
site|San Antonio Bulverde Parkway|48_029_1087|1087
site|New Braunfels Oak Run Parkway|48_091_1088|1088
site|Von Ormy Highway 16 C1090|48_013_1090|1090
site|San Antonio Red Hill Lane C1091|48_029_1091|1091
site|Calaveras Lake Park C1609|48_029_1609|1609
site|Government Canyon C1610|48_029_1610|1610
site|New Braunfels Airport KBAZ C5004|48_187_5004|5004
region|14|Corpus Christi-Victoria
site|Corpus Christi West C4|48_355_0025|4
site|Corpus Christi Tuloso C21|48_355_0026|21
site|Corpus Christi Palm C83 |48_355_0083|83
site|Victoria C87|48_469_0003|87
site|Corpus Christi Huisache C98/A155|48_355_0032|98
site|Corpus Navigation C121|48_355_0020|121
site|Corpus Christi Huisache C98/A155|48_355_0032|149
site|Corpus Christi Huisache C98/A155|48_355_0032|155
site|Corpus Poth C164|48_355_0030|164
site|Corpus Hillcrest A170/A168|48_355_0029|168
site|Corpus Hillcrest A170/A168|48_355_0029|170
site|Corpus Hillcrest A170/A168|48_355_0029|195
site|Dona Park C635/AF199/F299|48_355_0034|199
site|National Seashore C314|48_273_0314|314
site|Victoria Rabbit Run C602|48_469_0004|602
site|Inez C609|48_469_0609|609
site|Coleto C624|48_175_0624|624
site|Port Grain Elevator C629|48_355_0036|629
site|J.I. Hailey C630|48_355_0037|630
site|Inner Harbor C631|48_355_0038|631
site|FHR Easement C632|48_355_0039|632
site|Solar Estates C633 |48_355_0041|633
site|Oak Park C634 |48_355_0035|634
site|Dona Park C635/AF199/F299|48_355_0034|635
site|Beeville Airport C641|48_025_0641|641
site|Hallettsville C649|48_285_0649|649
site|Port O Connor C657|48_057_0657|657
site|Aransas Pass C659|48_409_0659|659
site|Holly Road C660|48_355_0660|660
site|Violet C664|48_355_0664|664
site|Ingleside C685|48_409_0685|685
site|Odem C686|48_409_0686|686
site|Taft C687|48_409_0687|687
site|Williams Park C1024/E308|48_355_1024|1024
site|Cuero C1602|48_123_1602|1602
region|15|Lower Rio Grande Valley
site|Edinburg C42/AP142|48_215_0042|42
site|Mission C43/AP143|48_215_0043|43
site|Brownsville C80/AGP180|48_061_0006|80
site|Edinburg C42/AP142|48_215_0042|142
site|Mission C43/AP143|48_215_0043|143
site|Brownsville C80/AGP180|48_061_0006|180
site|Isla Blanca Park C323/C667|48_061_2004|323
site|Isla Blanca Park C323/C667|48_061_2004|667
site|Harlingen Teege C1023|48_061_1023|1023
site|Edinburg East Freddy Gonzalez Dr C1046|48_215_1046|1046
site|Mercedes C1048/A310|48_215_1048|1048
region|16|Laredo
site|Laredo Vidaurri C44/AFGP144/P244|48_479_0016|44
site|Laredo Bridge C66/AF173|48_479_0017|66
site|Laredo Vidaurri C44/AFGP144/P244|48_479_0016|144
site|Laredo Bridge C66/AF173|48_479_0017|173
site|World Trade Bridge C313|48_479_0313|313
site|Eagle Pass C319/C655|48_323_0004|319
site|Lake Amistad C321|48_465_0003|321
site|Eagle Pass C319/C655|48_323_0004|655
site|Del Rio KDRT C5017|48_465_5017|5017
